1001L	卢俊义
1002L	吴用
1003L	公孙胜
1004L	关胜
1005L	林冲
1006L	秦明
1007L	呼延灼
1008L	花荣
1009L	柴进
1010L	李应
1011L	朱仝
1012L	鲁智深
1013L	武松
1014L	董平
1015L	张清
1016L	杨志
1017L	徐宁
1018L	索超
1019L	戴宗
1020L	刘唐
1021L	李逵
1022L	史进
1023L	穆弘
1024L	雷横
1025L	李俊
1026L	阮小二
1027L	张横
1028L	阮小五
1029L	张顺
1030L	阮小七
1031L	杨雄
1032L	石秀
1033L	解珍
1034L	解宝
1035L	燕青
1036L	朱武
1037L	黄信
1038L	孙立
1039L	宣赞
1040L	郝思文
1041L	韩滔
1042L	彭玘
1043L	单廷珪
1044L	魏定国
1045L	萧让
1046L	裴宣
1047L	欧鹏
1048L	邓飞
1049L	燕顺
1050L	杨林
1051L	凌振
1052L	蒋敬
1053L	吕方
1054L	郭盛
1055L	安道全
1056L	皇甫端
1057L	王英
1058L	扈三娘
1059L	鲍旭
1060L	樊瑞
1061L	孔明
1062L	孔亮
1063L	项充
1064L	李衮
1065L	金大坚
1066L	马麟
1067L	童威
1068L	童猛
1069L	孟康
1070L	侯健
1071L	陈达
1072L	杨春
1073L	郑天寿
1074L	陶宗旺
1075L	宋清
1076L	乐和
1077L	龚旺
1078L	丁得孙
1079L	穆春
1080L	曹正
1081L	宋万
1082L	杜迁
1083L	薛永
1084L	施恩
1085L	李忠
1086L	周通
1087L	汤隆
1088L	杜兴
1089L	邹渊
1090L	邹润
1091L	朱贵
1092L	朱富
1093L	蔡福
1094L	蔡庆
1095L	李立
1096L	李云
1097L	焦挺
1098L	石勇
1099L	孙新
1100L	顾大嫂
1101L	张青
1102L	孙二娘
1103L	王定六
1104L	郁保四
1105L	白胜
1106L	时迁
1107L	段景住
